fornitore,prodotto,unita_misura,min_estate,min_inverno
Elenka,Agrolina Ciaculli,Bottiglia,3,1
Bonella,Alluminio rotolo,Nr.,2,1
G&P,Amaretti granella,Kg.,2,1
Fructital,Arancia variegato,Latta Kg. 4,4,2
Elenka,Base Nolat,Sacch.,12,6
Fugar,Base Panna,Sacch. Kg. 3,12,6
Fructital,Bianca Vega,Sacch.,24,16
Fructital,Bianca Vega Stevia,Sacch.,10,5
Pack Studio,Bicchiere grande 45W pers.,Nr.,2500,1500
Pack Studio,Bicchiere piccolo 25M pers.,Nr.,2500,500
G&P,Bignè mm. 45,Ct.,1,1
Gaggino,Bignè mm. 45 cad. gr. ca.3/4,Ct. 6Sxgr 250,1,1
Mec3,Biscottino pasta,"Latta Kg. 4,5",4,2
Siculabrioche,Brioches,Nr.,100,54
Irca,Cacao 22/24,Kg.,50,30
Martini,Cacao Aymara 22/24,Kg.,50,30
Gaggino,Cannucce,Nr.,500,250
Mec3,Cherry Mania,Latta Kg. 5,5,2
Fugar,CNC,Latta Kg. 6,4,2
Irca,CNC Nocciolata Ice,Latta Kg. 5,4,2
Martini,CNC Brunella Gianduia top,Latta Kg. 5,4,2
Di Sano,Cocco Rapè,Kg.,6,2
Gaggino,Cono Coppa piccola,Ct. 720pz,1,1
Ostificio P.,Cono grande OP5,Ct. 225pz,2,1
Ostificio P.,Cono maxi Cialda F91,Ct. 189pz,1,1
Ostificio P.,Cono medio OP4,Ct. 300pz,5,2
Ostificio P.,Cono piccolo OP1,Ct. 300pz,12,3
Gaggino,Cono Super Granellato h180xd.50,Ct. 150pz,1,1
Mec3,Cookies Variegato,Latta Kg. 6,8,2
Pack Studio,Coperchio bicchiere grande 42C,Nr.,1500,500
Pack Studio,Coperchio bicchiere piccolo 25C,Nr.,250,250
Pack Studio,Coppa G4 personalizzata,Nr.,150,50
Pack Studio,Coppa grande CX160 pers.,Nr.,2000,2000
Pack Studio,Coppa media 90 pers.,Nr.,4000,4000
Pack Studio,Coppa piccola 80 pers.,Nr.,4000,4000
Fugar,Crema emiliana,Latta Kg. 3,2,1
Docks,Cucchiaini Granita,Sacch.,6,1
Gaggino,Cucchiaini Granita,Sacch.,6,1
Docks,Destrosio,Kg.,50,25
Reire,Destrosio,Kg.,50,25
Gaggino,Dobus roll 12 fogli,Fogli,12,8
G&P,Dobus roll 12 fogli,Fogli,12,8
Officine Grafiche,Fascette adesive,Rotoli,4,2
G&P,Fragola variegato,Latta Kg. 4,1,1
Mec3,Frollini,Sacch. gr. 700,5,2
G&P,Frutti di bosco variegato,Latta Kg. 3,2,1
Fugar,Glassatura,"Latta Kg. 5,5",3,2
Irca,Glassatura Joy Couv. extra dark,Latta Kg. 5,3,2
Martini,Glassatura Stracc Super. Fond. Più,Latta Kg. 5,3,2
Reire,Glucosio polvere,Kg.,20,10
Gaggino,Gocce bianco,Kg.,20,10
Martini,Gocce bianco,Kg.,20,10
Irca,Gocce bianco Reno Concerto,Kg.,20,10
Gaggino,Gocce fondente,Kg.,20,10
Martini,Gocce fondente,Kg.,20,10
Irca,Gocce fondente Reno Concerto,Kg.,20,10
Ostificio P.,Gusto Tondo personalizzato,Ct. 1000pz,10,4
Reire,Inulina,Kg.,30,10
Reire,Latte in polvere intero istantaneo,Kg.,30,10
Mec3,Liquirizia,Latta Kg. 3,1,0
Benvenuto,Mandorla affettata,Kg.,1,1
Fructital,Mandorla pasta,"Latta Kg. 3,5",4,2
Fugar,Menta,"Latta Kg. 5,5",2,0
Mec3,Mini cookies,Scatola 300pz,4,2
Mec3,Mr Nico Pasta,Latta Kg. 5,2,1
Mec3,Mr Nico Variegato,Latta Kg. 4,2,1
Mec3,Neutral Jelly,Latta Kg. 3,2,1
Benvenuto,Nocciola pasta,Latta Kg. 5,4,2
Benvenuto,Nocciola granella,Kg.,5,3
Benvenuto,Nocciola intere,Kg.,5,3
G&P,Nonnakrem pasta,Latta Kg. 3,0,0
Ferrero,Nutella,Secchio,20,10
Docks,"Palette gelato cm.9,5 comp.",Sacch.,6,2
Gaggino,"Palette gelato cm.9,5 comp.",Sacch.,6,2
G&P,Pan di spagna,Fogli,1,1
Gaggino,Pan di spagna,Fogli,1,1
Benvenuto,Pistacchi granella,Kg.,2,1
Benvenuto,Pistacchi interi,Kg.,2,1
G&P,Pistacchio Bronte,Kg.,5,3
Mec3,Pistacchio Fior di sale Sicilia,Latta Kg. 4,5,3
Fugar,Pistacchio Puro,"Latta Kg. 5,5",5,3
Fugar,Pistacchio Salty,Latta Kg. 3,4,2
Bonella,Rotoloni carta,Nr.,4,2
Officine Grafiche,scatola torta 14x14  140pz,Nr.,140,140
Officine Grafiche,scatola torta 19x19  140pz,Nr.,140,140
Officine Grafiche,scatola torta 23x23  120pz,Nr.,120,120
Officine Grafiche,scatola torta 27x27  100pz,Nr.,100,100
Officine Grafiche,scatola torta 31x31  100pz,Nr.,25,25
G&P,Semifreddo Stracciatella,"Latta Kg. 1,25",18,12
Bonella,Shopper carta personalizzati,Ct. 300pz,4,2
Officine Grafiche,ShopperBio750pzxct caKg100=6000pz,Ct.,6,2
Bonella,Tovagliolini 17x17 personalizzati,Ct. 20.000pz,2,1
Mec3,Vanilla Gourmet SZ pasta,Latta Kg. 3,2,1
Coopbox,Vaschetta PCR0029 350gr,Ct. 50pz,10,5
Coopbox,Vaschetta PCR0020 500gr.,Ct. 50pz,10,5
Coopbox,Vaschetta PCR0023 750gr.,Ct. 50pz,8,4
Coopbox,Vaschetta PCR0026 1000gr.,Ct. 50pz,4,2
Coopbox,Vaschetta PCR0028 1500gr.,Ct. 24pz,2,1
Fructital,Viola,Latta Kg. 4,1,1
Mec3,Vov pasta,"Latta Kg. 4,5",1,1
Fructital,Yogurt,Sacch. Kg. 2,2,1
Docks,Zucchero,Kg.,150,100
Gaggino,scaglie fondenti,Kg.,2,1
Mec3,Mirror Glaze Fragola,Latta Kg. 3,1,1
Mec3,Mirror Glaze Violet,Latta Kg. 3,1,1
Mec3,Mirror Glaze Mango,Latta Kg. 3,1,1
Mec3,crumble neutro,"Sacch. Kg. 2,5",1,1
Mec3,crumble frutti di bosco,"Sacch. Kg. 2,5",1,1
Mec3,pasta mascarpone,"Latta Kg. 4,5",2,1
Mec3,base caramello salato,Sacch.,10,5
Mec3,caramello salato variegatura,Latta Kg. 6,2,1
Mec3,Dubai pistacchio variegato,"Latta Kg. 5,5",2,1
Mec3,Guinness Kit,Ct.,0,0
Irca,Joycream raspberry milk,Latta Kg. 5,2,1
Irca,Joycream raspberry white,Latta Kg. 5,2,1
Irca,Joy couverture extra white,Latta Kg. 5,2,1
Irca,Franui Milk,"Bar. 12X0,150",2,1
Irca,Joyquick lampone,"Sacch. 6xKg. 1,25",2,1
Irca,Purea Lampone essential,Bar. 5xKg. 1,2,1
Irca,Joypaste caffè,"Bar. 6xKg. 1,2",2,1
Fructital,crumble cacao,Sacch. Kg. 2,1,1
Fructital,crumble caramello,Sacch. Kg. 2,1,1
Gaggino,lamponi rotti,Kg.,2,1
Gaggino,fragole gelo,Kg.,2,1
Gaggino,mango,Kg.,2,1
Fructital,biscotto SL pasta,Latta Kg. 4,2,1
Fructital,biscotto SL variegato,Latta Kg. 4,2,1
Docks,Nescafè,Bar.,7,3
Gaggino,misto bosco gelo,Kg.,10,5
Gaggino,cono senza glutine,Scatola,1,0.5
Bonella,scatole torta 33x33,Scatola,25,25
Bonella,scatole torta  31x44,Scatola,25,25
Mec3,crumble bosco,Sacch. Kg. 2,1,1
